product_id,product_name,product_family,variant,brand,category,description,sku,supplier_id,cost_price,selling_price,reorder_level,active,launch_date,created_at,updated_at
PROD0001,DataVault SSD 256GB,DataVault SSD,256GB,DataVault,Storage,High-speed solid-state drive for desktops and laptops.,STO-DAT-0001,SUP0006,1975.41,2755.12,5,TRUE,10/18/2024,10/18/2024,5/20/2025
PROD0002,DataVault SSD 512GB,DataVault SSD,512GB,DataVault,Storage,High-speed solid-state drive for desktops and laptops.,STO-DAT-0002,SUP0006,3050.47,4132.23,25,FALSE,12/26/2025,12/26/2025,7/15/2026
PROD0003,DataVault SSD 1TB,DataVault SSD,1TB,DataVault,Storage,High-speed solid-state drive for desktops and laptops.,STO-DAT-0003,SUP0006,4649.9,5726.22,25,TRUE,11/24/2025,11/24/2025,3/16/2026
PROD0004,DataVault HDD 1TB,DataVault HDD,1TB,DataVault,Storage,Reliable hard disk drive for business storage.,STO-DAT-0004,SUP0014,2417.39,3281.4,10,TRUE,3/7/2026,3/7/2026,4/13/2026
PROD0005,DataVault HDD 2TB,DataVault HDD,2TB,DataVault,Storage,Reliable hard disk drive for business storage.,STO-DAT-0005,SUP0014,3869.54,5227.37,25,TRUE,12/25/2023,12/25/2023,5/2/2026
PROD0006,DataVault HDD 4TB,DataVault HDD,4TB,DataVault,Storage,Reliable hard disk drive for business storage.,STO-DAT-0006,SUP0014,5174.07,6796.29,25,TRUE,9/2/2024,9/2/2024,7/16/2026
PROD0007,DataVault FlashDrive 32GB,DataVault FlashDrive,32GB,DataVault,Storage,Portable USB flash storage for everyday file transfer.,STO-DAT-0007,SUP0006,354.34,452.26,15,TRUE,3/31/2025,3/31/2025,11/23/2025
PROD0008,DataVault FlashDrive 64GB,DataVault FlashDrive,64GB,DataVault,Storage,Portable USB flash storage for everyday file transfer.,STO-DAT-0008,SUP0006,495.66,682.76,15,TRUE,5/27/2026,5/27/2026,7/22/2026
PROD0009,SwiftLink Router AC1200,SwiftLink Router,AC1200,SwiftLink,Networking,Wireless router designed for office connectivity.,NET-SWI-0009,SUP0003,2569.08,3728.73,5,TRUE,4/6/2026,4/6/2026,7/1/2026
PROD0010,SwiftLink Router AX1800,SwiftLink Router,AX1800,SwiftLink,Networking,Wireless router designed for office connectivity.,NET-SWI-0010,SUP0003,3061.45,4498.51,5,TRUE,2/25/2025,2/25/2025,7/19/2025
