"product_id","product_name","total_sales"
"PROD0041","NovaBook Ultra 18-inch",3507387340.89
"PROD0037","ApexBook Pro 16-inch",3228814836.53
"PROD0044","NovaStation Workstation",2856096710.84
"PROD0036","ApexBook Pro 14-inch",2683564916.75
"PROD0046","ApexStation Compact",2440209807.52
"PROD0043","NovaStation Tower",2386478930.65
"PROD0039","NovaBook Air 16-inch",2175654290.24
"PROD0035","ApexBook Essential 13-inch",1849878056.46
"PROD0038","NovaBook Air 14-inch",1799890013.04
"PROD0045","ApexStation Pro",1529576167.39
