inventory_id,product_id,warehouse_id,current_stock,reserved_stock,available_stock,inventory_status,last_stock_movement,created_at,updated_at
INV0001,PROD0001,WH003,3082,154,2928,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0002,PROD0002,WH003,72,7,65,In Stock,,2025-12-26,2025-12-26
INV0003,PROD0003,WH003,4696,470,4226,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0004,PROD0004,WH003,4443,0,4443,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0005,PROD0005,WH003,4779,478,4301,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0006,PROD0006,WH003,2864,0,2864,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0007,PROD0007,WH003,7067,1060,6007,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0008,PROD0008,WH003,4264,213,4051,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0009,PROD0009,WH002,4809,481,4328,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0010,PROD0010,WH002,3525,352,3173,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0011,PROD0011,WH002,3973,0,3973,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0012,PROD0012,WH002,5537,0,5537,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0013,PROD0013,WH002,3632,363,3269,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0014,PROD0014,WH002,20,3,17,In Stock,,2025-06-04,2025-06-04
INV0015,PROD0015,WH001,3454,173,3281,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0016,PROD0016,WH001,4086,409,3677,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0017,PROD0017,WH001,3275,328,2947,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0018,PROD0018,WH001,5391,809,4582,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0019,PROD0019,WH001,3413,341,3072,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0020,PROD0020,WH003,5158,258,4900,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0021,PROD0021,WH003,7252,1088,6164,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0022,PROD0022,WH003,4957,744,4213,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0023,PROD0023,WH003,7437,1116,6321,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0024,PROD0024,WH003,9096,455,8641,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0025,PROD0025,WH003,5194,519,4675,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0026,PROD0026,WH003,5700,570,5130,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0027,PROD0027,WH003,41,2,39,In Stock,,2025-12-18,2025-12-18
INV0028,PROD0028,WH003,5376,538,4838,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0029,PROD0029,WH002,2599,130,2469,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0030,PROD0030,WH002,2132,213,1919,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0031,PROD0031,WH002,1737,0,1737,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0032,PROD0032,WH002,3531,353,3178,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0033,PROD0033,WH002,1578,237,1341,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0034,PROD0034,WH003,18,0,18,In Stock,,2025-05-28,2025-05-28
INV0035,PROD0035,WH003,2784,139,2645,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0036,PROD0036,WH003,2868,287,2581,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0037,PROD0037,WH003,2694,0,2694,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0038,PROD0038,WH003,2081,104,1977,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0039,PROD0039,WH003,4548,227,4321,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0040,PROD0040,WH003,108,5,103,In Stock,,2025-09-20,2025-09-20
INV0041,PROD0041,WH003,4696,0,4696,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0042,PROD0042,WH003,3776,0,3776,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0043,PROD0043,WH003,3390,0,3390,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0044,PROD0044,WH003,2998,0,2998,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0045,PROD0045,WH003,3085,308,2777,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0046,PROD0046,WH003,7013,701,6312,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0047,PROD0047,WH001,3087,463,2624,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0048,PROD0048,WH001,3415,342,3073,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0049,PROD0049,WH001,4758,238,4520,In Stock,2026-07-23,2026-07-23,2026-07-23
INV0050,PROD0050,WH001,3586,179,3407,In Stock,2026-07-23,2026-07-23,2026-07-23
