"sales_month","total_sales"
"2024-01-01 00:00:00+08",450664729.39
"2024-02-01 00:00:00+08",307973821.42
"2024-03-01 00:00:00+08",320572690.43
"2024-04-01 00:00:00+08",213815986.82
"2024-05-01 00:00:00+08",361863429.87
"2024-06-01 00:00:00+08",494136241.39
"2024-07-01 00:00:00+08",369606182.19
"2024-08-01 00:00:00+08",400778102.96
"2024-09-01 00:00:00+08",469807943.87
"2024-10-01 00:00:00+08",534431462.60
"2024-11-01 00:00:00+08",784085700.49
"2024-12-01 00:00:00+08",1013545484.05
"2025-01-01 00:00:00+08",1207689358.62
"2025-02-01 00:00:00+08",915901172.50
"2025-03-01 00:00:00+08",951561855.82
"2025-04-01 00:00:00+08",653980930.19
"2025-05-01 00:00:00+08",1031486115.66
"2025-06-01 00:00:00+08",1494522604.11
"2025-07-01 00:00:00+08",1235778979.22
"2025-08-01 00:00:00+08",1237297296.65
"2025-09-01 00:00:00+08",1550605166.98
"2025-10-01 00:00:00+08",1724719159.49
"2025-11-01 00:00:00+08",2004316137.02
"2025-12-01 00:00:00+08",2559866404.79
"2026-01-01 00:00:00+08",2302007627.53
"2026-02-01 00:00:00+08",1563220019.33
"2026-03-01 00:00:00+08",1547549986.21
"2026-04-01 00:00:00+08",964826552.49
"2026-05-01 00:00:00+08",1555316746.68
"2026-06-01 00:00:00+08",2163705136.14
"2026-07-01 00:00:00+08",1162953114.53
