"customer_id","customer_name","total_sales"
"CUS0183","UnityWood Point State College",481173336.84
"CUS0133","BrightForge River Technologies Inc.",474339544.93
"CUS0025","GreenHarbor Hill Industrial Corporation",473352834.94
"CUS0035","RedHill Gate Municipal Government",471552166.48
"CUS0051","FirstWorks Harbor General Hospital",456144708.88
"CUS0010","RedHorizon Works Retail Group",446156915.84
"CUS0257","WestAxis Peak Commercial Center",431709578.95
"CUS0293","EverWorks Works Trading Corporation",431556032.81
"CUS0195","NorthLine River Business Solutions",429092050.47
"CUS0029","BluePoint Peak State College",424996427.63
