"industry","total_sales"
"Logistics",2703518453.66
"Academy",2140355123.63
"Engineering",1984502992.21
"Consulting",1889690052.18
"Accounting Services",1803647735.26
"Office Supplies",1687286294.74
"Telecommunications",1660328226.95
"Electronics",1495840890.22
"Food Manufacturing",1469534674.69
"Furniture",1411714195.78
"Medical Clinic",1365982883.92
"College",1359918317.87
"National Agency",1327782744.22
"Computer Store",1318870605.07
"Diagnostic Center",1129192336.04
"Training Center",1108775032.30
"City Government",1040392279.78
"Municipal Government",1004943737.18
"University",915523623.80
"Packaging",914146204.12
"Supermarket",873674531.37
"Electronics Manufacturing",782106579.30
"Public School District",774502793.61
"Hospital",616952824.27
"Textile",450558765.58
"Information Technology",318844241.69
