supplier_id,supplier_name,contact_person,email,mobile_number,street_address,city,province,region,country,payment_terms,lead_time_days,supplier_status,created_at,updated_at
SUP0001,PrimeSource Office Supplies Inc.,Kenneth Cruz,kenneth.cruz@primesourceoffice.com,9203218196,42 Business Park,Makati,Metro Manila,NCR,Philippines,Cash,5,Active,2023-01-30,2023-12-07
SUP0002,MetroTech Distribution Corporation,Patricia Soriano,patricia.soriano@metrotechdistribution.com,9818637940,787 Business Park,Makati,Metro Manila,NCR,Philippines,Net 15,25,Active,2022-07-29,2023-03-19
SUP0003,Vertex Industrial Traders,Mark Mendoza,mark.mendoza@vertexindustrial.com,9181615594,836 Business Park,Quezon City,Metro Manila,NCR,Philippines,Cash,26,ACTIVE,2023-02-21,2024-03-01
SUP0004, Golden Axis Business Solutions,Carlo Del Rosario,carlo.delrosario@goldenaxis.com,9219593103,801 busINEss paRK,Dasmariñas,Cavite,CALABARZON,Philippines,Net 30,5,Active,2021-03-22,2022-11-07
SUP0005,Pacific Office Essentials,Vincent Cruz,vincent.cruz@pacificoffice.com,9775255341,633 Business Park,Dasmariñas,Cavite,CALABARZON,Philippines,Net 15,20,Active,2021-10-12,2023-02-18
SUP0006,NorthPeak Technology Supply,Angela Salazar,angela.salazar@northpeaktech.com,9818350305,420 Business Park,Dasmariñas,Cavite,CALABARZON,Philippines,Net 30,5,Active,2021-10-04,2023-08-20
SUP0007,Alliance Office Products,Christian Santiago,christian.santiago@allianceoffice.com,9777672423,772 Business Park,Davao City,Davao del Sur,Davao Region,Phlippines,Net 30,26,Active,2021-11-19,2022-07-24
SUP0008,Pinnacle Distribution Group,Marvin Dela Cruz,marvin.delacruz@pinnacledg.com ,9198710122,821 Business Park,Dasmariñas,Cavite,CALABARZON,Philippines,Net 45,22,Active,2022-01-06,2022-09-17
SUP0009,EastBridge Business Supply,Rose Soriano ,rose.soriano@eastbridge.com,9560184514,455 Business Park,Maollos,Bulacan,Central Luzon ,Philippines,Net 15,17,Active,2022-06-26,2023-04-09
SUP0010,BluePeak Office Systems,Jerome Santiago,jerome.santiago@bluepeak.com,9982814893,166 Business Park,Davao City,Davao del Sur,Davao Region,Philippines,Net 30,27,Active,2021-09-27,2023-03-23
SUP0011,Sterling Office Supply,Sheila Del Rosario,sheila.delrosario@sterlingoffice.com,9287015430,256 Business Park,San Fernando,Pampanga,Central Luzon,Philippines,Cash,5,Active,2021-01-01,2022-10-06
SUP0012,Horizon Business Solutions,Alyssa Garcia,alyssa.garcia@horizonbiz.com,9197824896,997 Business Park,San Fernando,Pampanga,Central Luzon,Philippines,Net 15,20,Active,2023-02-24,2023-08-01
SUP0013,ExcelPro Distribution,Kim Villanueva,kim.villanueva@excelpro.com,9775787133,75 Business Park,Davao City,Davao del Sur,Davao Region,Philippines,Net 30,3,Active,2021-11-16,2023-01-28
SUP0014,Optimum Tech Traders,Paolo Dela Cruz,paolo.delacruz@optimumtech.com,9810310518,253 Business Park,Quezon City,Metro  Manila,NCR,Philippines,Net 30,24,Active,2021-01-08,2021-04-20
SUP0015,Summit Industrial Supply,Daniel Mendoza,daniel.mendoza@summitindustrial.com,9453763116,372 Business Park,Davao City,Davao del Sur,Davao Region,Philippines,Net 45,16,Active,2022-08-08,2024-04-19
SUP0016,CoreLink Office Products,Jerome Reyes,jerome.reyes@corelink.com,9180651333,559 Business Park,Iloilo City,Iloilo,Western Visayas,Philippines,Net 45,7,Active,2022-11-01,2024-09-22
SUP0017,NextWave Distribution,Mark Salazar,mark.salazar@nextwave.com,9458108013,180 Business Park,Quezon City,Metro Manila,NCR,Philippines,Net 45,18,Active,2023-06-15,2023-09-30
SUP0018,Unity Business Essentials,Vincent Domingo,vincent.domingo@unitybusiness.com,9176474687,168 Business Park,Makati,Metro Manila,NCR,Philippines,Net 15,12,Active,2021-06-18,2022-08-10
