"product_name","average_discount_pct"
"OfficePro Projector Business",5.26
"OfficePro Shredder Personal",5.25
"NovaStation Workstation",5.16
"NovaStation Mini",5.16
"ApexBook Essential 13-inch",5.15
"FlexKeyboard Wired",5.14
"SwiftLink Switch 8-Port",5.14
"DataVault FlashDrive 32GB",5.13
"ApexBook Pro 14-inch",5.13
"NovaBook Air 16-inch",5.13
"DataVault FlashDrive 64GB",5.13
"SwiftLink Switch 16-Port",5.12
"SwiftLink Router AC1200",5.11
"OfficePro Laminator A4",5.11
"DataVault HDD 4TB",5.11
"FlexHeadset USB",5.11
"VisionView Pro 32-inch",5.11
"FlexKeyboard Wireless",5.11
"FlexMouse Wireless",5.11
"NovaStation Tower",5.11
"ApexStation Pro",5.11
"FlexMouse Wired",5.10
"FlexHub 4-Port",5.10
"NovaBook Ultra 18-inch",5.10
"DataVault HDD 1TB",5.09
"FlexWebcam HD",5.09
"FlexHeadset Bluetooth",5.09
"VisionView Essential 27-inch",5.09
"CorePrint Laser Color",5.09
"OfficePro Document Scanner ADF",5.09
"ApexStation Compact",5.09
"VisionView Ultra 42-inch",5.08
"DataVault SSD 1TB",5.08
"DataVault SSD 256GB",5.08
"DataVault HDD 2TB",5.07
"CorePrint Laser Mono",5.07
"SwiftLink Access Point Indoor",5.07
"CorePrint Label Industrial",5.07
"VisionView Essential 24-inch",5.07
"NovaBook Air 14-inch",5.06
"SwiftLink Router AX1800",5.04
"ApexBook Pro 16-inch",5.03
"CorePrint InkJet Color",5.01
"OfficePro Binding Machine Comb",5.01
"CorePrint Label Standard",4.98
