product_id,product_name,product_family,variant,brand,category,description,sku,supplier_id,cost_price,selling_price,reorder_level,active,launch_date,created_at,updated_at
PROD0001,DataVault SSD 256GB,DataVault SSD,256GB,DataVault,Storage,High-speed solid-state drive for desktops and laptops.,STO-DAT-0001,SUP0006,1975.41,2755.12,5,True,2024-10-18,2024-10-18,2025-05-20
PROD0002,DataVault SSD 512GB ,DataVault SSD,512GB,DataVault,Storage,High-speed solid-state drive for desktops and laptops.,STO-DAT-0002,SUP0006,3050.47,4132.23,25,False,2025-12-26,2025-12-26,2026-07-15
PROD0003,DataVault SSD 1TB,DataVault SSD,1TB,DataVault,Storage,High-speed solid-state drive for desktops and laptops.,STO-DAT-0003,SUP0006,4649.9,5726.22,25,True,2025-11-24,2025-11-24,2026-03-16
PROD0004,DataVault HDD 1TB,DataVault HDD,1TB,DataVault,Storage,Reliable hard disk drive for business storage.,STO-DAT-0004,SUP0014,2417.39,3281.4,10,True,2026-03-07,2026-03-07,2026-04-13
PROD0005,DataVault HDD 2TB,DataVault  HDD,2TB,DataVault,Storage,Reliable hard disk drive for business storage.,STO-DAT-0005,SUP0014,3869.54,5227.37,25,True,2023-12-25,2023-12-25,2026-05-02
PROD0006,DataVault HDD 4TB,DataVault HDD,4TB,DataVault,Storage,Reliable hard disk drive for business storage.,STO-DAT-0006,SUP0014,5174.07,6796.29,25,True,2024-09-02,2024-09-02,2026-07-16
PROD0007,DataVault FlashDrive 32GB,DataVault FlashDrive,32GB,DataVault,Storage,Portable USB flash storage for everyday file transfer.,STO-DAT-0007,SUP0006,354.34,452.26,15,True,2025-03-31,2025-03-31,2025-11-23
PROD0008,DataVault FlashDrive 64GB,DataVault FlashDrive,64GB,DataVault,Storae,Portable USB flash storage for everyday file transfer.,STO-DAT-0008,SUP0006,495.66,682.76,15,True,2026-05-27,2026-05-27,2026-07-22
PROD0009,SwiftLink Router AC1200,SwiftLink Router,AC1200,SwiftLink,Networking,Wireless router designed for office connectivity.,NET-SWI-0009,SUP0003,2569.08,3728.73,5,True,2026-04-06,2026-04-06,2026-07-01
PROD0010, SwiftLink Router AX1800,SwiftLink Router,AX1800,SwiftLink,Networking,Wireless router designed for office connectivity.,NET-SWI-0010,SUP0003,3061.45,4498.51,5,True,2025-02-25,2025-02-25,2025-07-19
PROD0011,SwiftLink Switch 8-Port,SwiftLink Switch,8-Port,SwiftLink,Networking,Managed network switch for office infrastructure.,NET-SWI-0011,SUP0012,3468.73,4328.04,15,True,2025-05-29,2025-05-29,2026-04-08
PROD0012,SwiftLink Switch 16-Port,SwiftLink Switch,16-Port,SwiftLink ,Networking,Managed network switch for office infrastructure.,NET-SWI-0012,SUP0012,5136.54,6685.89,10,True,2025-11-17,2025-11-17,2025-11-25
PROD0013, SwiftLink Access Point Indoor,SwiftLink Access Point,Indoro,SwiftLink,Networking,Business-grade wireless access point.,NET-SWI-0013,SUP0003,3134.61,4030.89,25,True,2025-12-26,2025-12-26,2026-04-14
PROD0014,SwiftLink Access Point Outdoor,SwiftLink Access Point,Outdoor,SwiftLink,Networking,Business-grade wireless access point.,NET-SWI-0014,SUP0003,4807.3,6178.36,5,False,2025-06-04,2025-06-04,2025-10-07
PROD0015,CorePrint InkJet Color,CorePrint InkJet,Color,CorePrint,Printer,Color inkjet printer for office documents.,PRI-COR-0015,SUP0007,4057.68,5047.87,5,True,2026-06-16,2026-06-16,2026-06-25
PROD0016,CorePrint Laser Mono,CorePrint Laser,Mono,CorePrint,Printer ,Laser printer designed for business environments.,PRI-COR-0016,SUP0013,7438.58,9529.87,10,True,2023-09-21,2023-09-21,2024-05-15
PROD0017,CorePrint Laser Color,CorePrint Laser,Color,CorePrint,Printer,Laser printer designed for business environments.,PRI-COR-0017,SUP0013,10493.86,14351.43,15,True,2024-11-09,2024-11-09,2025-04-10
PROD0018,CorePrint Label Standard,CorePrint Label,Standard,CorePrint,Printer,Label printer for warehouse and inventory operations.,PRI-COR-0018,SUP0007,4413.91,6370.58,5,True,2024-03-20,2024-03-20,2025-10-17
